latitud,longitud,id_syscali01,Latitud:,Longitud:,Río:,Altura,Fecha de Muestreo,Hora de Muestreo,Velocidad media,Caudal,Campaña,Responsable,Conductividad específica (T ref. 25°C) (uS/cm),Oxígeno disuelto (mg/l O2),pH (u pH),Sólidos disueltos totales (mg/l),Sólidos suspendidos totales (mg/l),Sólidos totales (mg/l),Temperatura (C),Calcio disuelto (mg/l Ca),Calcio total (mg/l Ca),Dureza total (mg/l CaCO3),Magnesio disuelto (mg/l Mg),Magnesio total (mg/l Mg),Potasio disuelto (mg/l K),Potasio total (mg/l K),Sodio disuelto (mg/l Na),Sodio total (mg/l Na),Demanda bioquímica de oxígeno (mg/l O2),Demanda química de oxígeno (mg/l O2),Arsenico disuelto (ug/l As),Arsenico total (ug/l As),Cadmio disuelto (ug/l Cd),Cadmio total (ug/l Cd),Cobre disuelto (ug/l Cu),Cobre total (ug/l Cu),Cromo disuelto (ug/l Cr),Cromo total (ug/l Cr),Hierro disuelto (ug/l Fe),Hierro total (ug/l Fe),Manganeso disuelto (ug/l Mn),Manganeso total (ug/l Mn),Mercurio disuelto (ug/l Hg),Mercurio total (ug/l Hg),Niquel disuelto (ug/l Ni),Niquel total (ug/l Ni),Plata disuelto (ug/l Ag),Plata total (ug/l Ag),Plomo disuelto (ug/l Pb),Plomo total (ug/l Pb),Zinc disuelto (ug/l Zn),Zinc total (ug/l Zn),Arsenico suspensión (mg/kg As),Cadmio suspensión (mg/kg Cd),Cobre suspensión (mg/kg Cu),Cromo suspensión (mg/kg Cr),Hierro suspensión (mg/kg Fe),Manganeso suspensión (mg/kg Mn),Niquel suspensión (mg/kg Ni),Plomo suspensión (mg/kg Pb),Zinc en suspensión (mg/kg Zn),Turbiedad (UNT),Plata suspensión (mg/kg Ag),Mercurio suspensión (mg/kg Hg),pH (mV) (mV),Salinidad (Sal),Saturación de oxígeno (%),Alcalinidad total (mg/l CaCO3),Cloruros (mg/l Cl -),Sulfatos (mg/l SO4=),Fósforo disuelto (mg/l PO4),Fósforo total (mg/l PO4),Nitrato (mg/l NO3),Nitrito (mg/l NO2),Nitrógeno amoniacal (mg/l NH4),Nitrógeno total Kjeldahl (mg/l N),Carbono organico disuelto (mg/l),Coliformes fecales (en NMP) (NMP/100 ml),Coliformes totales (en NMP) (NMP/100 ml),Cianuros libre (mg/l CN-),Fenoles (mg/l C6H6O),Sulfuros (mg/l S=),Aerobios mesófilos totales (en UFC) (UFC/100 ml),Coliformes fecales (en UFC) (UFC/100 ml),Coliformes totales (en UFC) (UFC/100 ml),Cianuros libre (CN-),Sulfuros (S=),Cianuros (mg/l CN-),Color (u PtCo),Boro disuelto (ug/l B),Boro total (ug/l B),Selenio disuelto (ug/l Se),Selenio total (ug/l Se),Hidrocarburos totales (mg/l),Boro suspensión (mg/kg B),Selenio suspensión (mg/kg Se),Cobre total (Cu),Cromo disuelto (Cr),Cromo total (Cr),Hierro disuelto (Fe),Hierro total (Fe),Manganeso disuelto (Mn),Manganeso total (Mn),Mercurio disuelto (Hg),Mercurio total (Hg),Niquel disuelto (Ni),Niquel total (Ni),Plata disuelto (Ag),Plata total (Ag),Plomo disuelto (Pb),Plomo total (Pb),Selenio disuelto (Se),Selenio total (Se),Zinc disuelto (Zn),Zinc total (Zn),Fenoles (C6H6O),Aerobios mesófilos totales (en UFC) (UFC/ml),Hidrocarburos totales (),Cadmio total (Cd),Cobre disuelto (Cu),Fósforo total (PO4),Arsenico total (As),Boro disuelto (B),Boro total (B),Cadmio disuelto (Cd),Demanda bioquímica de oxígeno (O2),Demanda química de oxígeno (O2),Arsenico disuelto (As),Magnesio total (Mg),Potasio disuelto (K),Sodio disuelto (Na),Sulfatos (SO4=),Nitrato (NO3),Nitrito (NO2),Nitrógeno amoniacal (NH4),Fósforo disuelto (PO4),Alcalinidad Fenolftaleina (mg/l CaCO3),Turbiedad (NTU),Bismuto disuelto (ug/l Bi),Bismuto total (ug/l Bi),Talio disuelto (ug/l Tl),Talio total (ug/l Tl),Bismuto suspensión (mg/kg Bi),Talio en suspensión (mg/kg Tl),Presión Parcial (mm Hg),Resistividad (Ohm.cm),Bismuto total (Bi),Talio disuelto (Tl),Talio total (Tl),Bismuto disuelto (Bi),Aerobios mesófilos totales (en NMP) (NMP/100 ml),Cianuros (CN-),Coliformes totales (en UFC) (),Coliformes totales (en NMP) (),Alcalinidad total (CaCO3),Dureza total (CaCO3),Magnesio disuelto (Mg),Potasio total (K),Sodio total (Na),Nitrógeno total Kjeldahl (N),Aerobios mesófilos totales (en UFC) (),Coliformes fecales (en NMP) (),Coliformes fecales (en UFC) (),pH en laboratorio (u pH),Sólidos sedimentables (ml/l),Calcio disuelto (Ca),Calcio total (Ca),Cloruros (Cl -),Carbono orgánico total (mg/l)
-20.7423,-65.241,903,20 44 32.28,65 14 27.54 ,Tumusla,2336 msnm ,16-10-2017,16:25 Hs,0.398 m/s,2 m3/s,Octubre 2017, Unidad de Monitoreo y Centro de Datos,1303,6.64,8.711,1100,2,1102,23.7,56,56.79,491.8,85,86.68,8.1,8.6,84,84.6,6,7,2,< 20,< 0.2,,,,,,,,,,,,,,,,,,,,,,,,113500.00,,,,,,,,-105,0.6,104.4,150,50,353,0.28,0.34,< 0.01,< 0.02,3.74,3.6,,,,,,,,0,20,,,,4,2376,1326,,,,,,< 20,0.4,< 2,530,757,191,131,< 0.04,< 0.1,8,< 20,< 0.2,< 2,< 0.2,< 2,< 2,< 20,< 2,< 20,< 0.001,,< 0.038,< 2,< 2,,,,,,,,,,,,,,,,,15,13.3,< 0.2,< 2,,,,,161.4,767,,< 0.2,< 2,,0,< 0.002,,,,,,,,,,,,,,,,,
-19.5782,-65.8034,904,19 34 41.52,65 48 12.18 ,Aljamayu,3568 msnm ,04-10-2017,08:15 Hs,0.526 m/s,0 m3/s,Octubre 2017, Unidad de Monitoreo y Centro de Datos,1393,7.12,8.47,730,228,958,7.7,76,77.35,294.7,25.47,25.89,25.8,26.3,125.6,125.6,94,119,25,145,2,18,42,159,0.7,6,457,13248,845,1536,< 0.04,< 0.1,10,< 20,< 0.2,3,0.2,57,,,526.32,70.18,513.16,23.25,56100.88,3030.70,,136.84,16517.54,,13.16,,-60.9,0.6,93.8,280,154.7,241.2,6.1,7.94,4.21,< 0.02,57.47,113.4,,,,,,,,7200,8100,,0.01,,67,397,372,< 2,< 20,,,,,,,,,,,,,,,,,,,,,630,4396,0.002,,1.8,,,,,,,,,,,,,,,,,,,< 5,188,< 0.2,< 2,< 0.2,,,,128.8,712,,,< 2,,11400,< 0.002,,,,,,,,,,,,,,,,,
-19.4717,-65.7944,905,19 28 18.18,65 47 39.9 ,Tarapaya,3338 msnm ,04-10-2017,10:17 Hs,0.4 m/s,0 m3/s,Octubre 2017, Unidad de Monitoreo y Centro de Datos,1337,6.1,7.836,898,245,1143,11.6,107,109.21,332.1,15.77,16.03,17.4,17.4,112.6,113.9,49,60,28,240,2,20,18,226,0.5,28,378,39302,749,1385,< 0.04,< 0.1,10,32,< 0.2,17,0.3,331,,,865.31,73.47,848.98,112.24,158873.47,2595.92,89.80,1280.00,19191.84,,69.39,,-49.7,0.6,84,180,113.6,404.5,1.17,2.24,3.85,< 0.02,37.02,53.5,,,,,,,,4500,6300,,0.005,,34,397,425,< 2,< 20,,114.29,,,,,,,,,,,,,,,,,,,616,5318,< 0.001,,1.2,,,,,,,,,,,,,,,,,,,< 5,317,< 0.2,3,< 0.2,,12.24,,118.2,748,,,< 2,,20400,< 0.002,,,,,,,,,,,,,,,,,
-19.3214,-65.5519,906,19 19 17.16,65 33 6.9 ,Colavi,3637 msnm ,02-10-2017,13:15 Hs,0.261 m/s,0 m3/s,Octubre 2017, Unidad de Monitoreo y Centro de Datos,306,6.25,6.489,196,60,256,16.3,11,11.83,57.4,7.27,8.31,1.2,1.3,1.6,2.3,< 5,< 2,< 2,< 20,3,< 2,8,143,0.1,< 2,1477,10643,2933,1992,< 0.04,< 0.1,16,< 20,< 0.2,< 2,< 0.2,< 2,675,390,,,2250.00,,152766.67,,,,,,,,25.2,0.1,99.6,< 5,5.3,10.8,0.09,0.18,< 0.01,< 0.02,1.75,2.9,,,,,< 0.001,< 0.001,,0,0,,,< 0.002,< 0.05,58,4,< 2,< 20,< 0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,< 5,120,< 0.2,< 2,< 0.2,< 2,,,132.9,3270,,,,,0,,,,,,,,,,,,,,,,,,
-19.1441,-65.5658,907,19 8 38.82,65 33 56.7 ,Tacobamba,2823 msnm ,03-10-2017,12:55 Hs,SIN DATOS,SIN DATOS,Octubre 2017, Unidad de Monitoreo y Centro de Datos,757,5.99,8.494,542,1,543,23.7,48.94,49.05,348.4,54.94,55.29,6.6,6.8,26.3,26.3,< 5,< 2,< 2,< 20,< 0.2,< 2,< 2,< 20,0.5,2,128,786,21,39,< 0.04,< 0.1,2,< 20,< 0.2,< 2,< 0.2,< 2,< 2,< 20,,,,1500.00,658000.00,18000.00,,,,,,,-89.6,0.3,100.3,150,15.7,416.8,0.09,0.18,1.01,< 0.02,0.31,1.5,,,,,< 0.001,< 0.001,,15,22,,,< 0.002,2,204,175,< 2,< 20,< 0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,10.3,< 0.2,< 2,< 0.2,< 2,,,146,1320,,,,,0,,,,,,,,,,,,,,,,,,
-19.1322,-65.5717,908,"19° 7' 55.74""","65° 34' 18.18"" ",Pilcomayo,2783 msnm ,03-10-2017,11:40 Hs,SIN DATOS,SIN DATOS,Octubre 2017, Unidad de Monitoreo y Centro de Datos,1212,7.85,8.503,746,130,876,15.2,62.69,63.57,322.5,40.29,41.06,11.6,11.9,167.6,169.2,< 5,< 2,16,81,< 0.2,4,6,98,0.2,8,116,6910,140,362,< 0.04,< 0.1,2,< 20,< 0.2,2,0.4,142,28,1399,500.00,30.77,707.69,60.00,52261.54,1707.69,,1003.08,10546.15,,15.38,,-87.8,0.5,109.6,140,201.2,401.1,0.34,0.34,13.3,0.44,1.2,3.6,,,,,< 0.001,0.004,,5,27,,,< 0.002,21,996,1961,< 2,< 20,0.044,7423.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,173,< 0.2,< 2,< 0.2,< 2,,,163.7,825,,,,,3,,,,,,,,,,,,,,,,,,
-19.3574,-65.1731,909,"19° 21' 26.70""","65° 10' 23.16"" ",Pilcomayo,2228 msnm ,02-10-2017,09:10 Hs,0.686 m/s,4 m3/s,Octubre 2017, Unidad de Monitoreo y Centro de Datos,1428,8.32,8.594,852,102,954,14,50,51.32,236.9,27.22,27.82,10,10.2,183.3,186.4,< 5,< 2,11,22,< 0.2,< 2,3,< 20,0.4,12,136,5658,47,252,< 0.04,< 0.1,2,< 20,< 0.2,< 2,< 0.2,5,2,99,107.84,,,113.73,54137.25,2009.80,,,950.98,,,,-92.4,0.7,106.1,150,251.2,12,0.4,0.43,6.45,0.13,1.26,2.2,,,,,< 0.001,0.003,,20,50,,,< 0.002,15,782,1417,< 2,< 20,< 0.038,6225.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,133,< 0.2,< 2,< 0.2,< 2,,,169.3,701,,,,,10,,,,,,,,,,,,,,,,,,
-21.5047,-65.7052,910,"21° 30' 16.98""","65° 42' 18.66"" ",Tupiza,2898 msnm ,05-10-2017,14:25 Hs,0.581 m/s,0 m3/s,Octubre 2017, Unidad de Monitoreo y Centro de Datos,1695,9.21,8.478,1502,1,1503,28.2,122,122.02,754.2,109.17,109.47,7,8.1,110.7,113.9,< 5,8,< 2,< 20,< 0.2,< 2,< 2,< 20,0.5,2,256,882,21,31,< 0.04,< 0.1,4,< 20,< 0.2,< 2,0.3,< 2,3,< 20,,,,1500.00,626000.00,10000.00,,,,,,,-88.5,0.8,152.6,175,64.9,774.5,1.17,1.66,11.67,11.25,3.04,4.3,,,,,< 0.001,0.004,,48,90,,,< 0.002,10,1651,1953,< 2,< 20,0.043,302000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,< 5,17.7,< 0.2,< 2,< 0.2,< 2,,,219,590,,,,,30,,,,,,,,,,,,,,,,,,
-22.5279,-66.3502,911,"22° 31' 40.44""","66° 21' 0.6"" ",Orosmayo,3026 msnm ,19-10-2017,10:00 Hs,0.177 m/s,0 m3/s,Octubre 2017, Unidad de Monitoreo y Centro de Datos,1209,7.72,8.345,708,< 1,708,9.6,12.96,15.49,85.9,13,13.22,16.3,16.5,155,156.3,8,10,12,< 20,< 0.2,< 2,< 2,< 20,0.3,< 2,86,500,3,< 20,< 0.04,< 0.1,< 2,< 20,< 0.2,< 2,< 0.2,< 2,5,< 20,,,,,414000.00,,,,,,,,-79.8,0.5,108,110,16.9,72.7,0.31,0.34,3.38,< 0.02,0.17,2.9,,,,,< 0.001,0.002,,44,59,,,< 0.002,8,2892,12748,2,< 20,< 0.038,9856000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,7.12,< 0.2,< 2,0.2,< 2,,,142.5,827,,,,,0,,,,,,,,,,,,,,,,,,
-21.5611,-65.6474,912,"21° 33' 40.08""","65° 38' 50.58"" ",San Juan del Oro,2845 msnm ,05-10-2017,16:05 Hs,0.328 m/s,1 m3/s,Octubre 2017, Unidad de Monitoreo y Centro de Datos,1374,8.03,8.9,1152,2,1154,23.4,105.33,108.48,550,69.69,70.3,7,7.2,108,109.6,< 5,< 2,2,< 20,< 0.2,< 2,< 2,< 20,0.5,< 2,221,1159,16,47,< 0.04,< 0.1,4,< 20,< 0.2,< 2,< 0.2,< 2,< 2,< 20,,,,,469000.00,15500.00,,,,,,,-113.2,0.6,135.3,165,90.7,615.1,0.21,1.99,2.67,< 0.02,2.74,2.9,,,,,< 0.001,0.004,,1,6,,,< 0.002,8,2220,2535,< 2,< 20,< 0.038,157500.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,11.6,< 0.2,< 2,< 0.2,< 2,,,195.4,728,,,,,400,,,,,,,,,,,,,,,,,,
-22.0977,-65.586,913,22 5 51.78,65 35 9.54 ,La Quiaca,2490 msnm ,17-10-2017,14:50 Hs,0.328 m/s,0 m3/s,Octubre 2017, Unidad de Monitoreo y Centro de Datos,1001,3.21,8.485,,,,21.7,,,,,,,,,,,,10,< 20,< 0.2,< 2,3,< 20,1,5,153,1916,68,91,< 0.04,< 0.1,2,< 20,< 0.2,< 2,,,,,,,,,,,,,,,,,-91.2,0.4,56,,,,,,,,,,,,,,,,,,,,,,,1046,980,,,,,,,,,,,,,,,,,,,0.6,3,< 2,< 20,16,63,< 0.001,,0.57,,,,,,,,,,,,,,,,,,,,112,< 0.2,< 2,,,,,76.6,999,,< 0.2,< 2,,,,,,,,,,,,,,,,,,,,
-21.2394,-65.2089,914,"21° 14' 21.90""","65° 12' 32.22"" ",San Juan del Oro,2300 msnm ,16-10-2017,14:15 Hs,0.137 m/s,0 m3/s,Octubre 2017, Unidad de Monitoreo y Centro de Datos,2530,11.21,7.725,2422,1,2423,26.1,125,126.81,711.6,97,99.06,9.9,10,188.8,192.8,7,8,3,< 20,< 0.2,< 2,< 2,< 20,0.6,< 2,179,1012,7,218,< 0.04,< 0.1,3,20,< 0.2,< 2,< 0.2,< 2,< 2,< 20,,,,,833000.00,211000.00,17000.00,,,,,,-48.4,1.3,186.5,205,50,1737.5,0.43,0.52,5.39,0.1,4.02,2.9,,,,,< 0.001,,,12,20,,,< 0.002,5,898,4494,< 2,< 20,< 0.038,3596000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,2.91,< 0.2,< 2,< 0.2,< 2,,,285,394,,,,,12,,,,,,,,,,,,,,,,,,
-21.1523,-64.2334,915,21 9 8.46,64 14 0.18 ,Pilaya,807 msnm ,26-10-2017,14:45 Hs,0.596 m/s,4 m3/s,Octubre 2017, Unidad de Monitoreo y Centro de Datos,1263,7.22,8.595,990,343,1343,28.1,111,138,1147,60.8,62,5.7,19.6,93,227,17,64,3,< 20,< 0.2,< 2,< 2,< 20,1,8,149,11159,< 2,266,< 0.04,< 0.1,3,< 20,< 0.2,< 2,< 0.2,16,< 2,20,,,,20.41,32099.13,775.51,,30.03,58.31,,,,-99.8,0.6,103.5,155.39,323.6,195.4,0.43,1.2,2.63,6.27,1.46,3.02,,1500,11000,,,< 1,3500,,,,,< 0.02,35.5,414,1022,< 2,< 20,,1772.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.96,496.8,,< 2,< 0.2,< 2,,,189,791,,,,,,,,,,,,,,,,,,,,,,,
-20.9136,-64.1105,916,20 54 49.74,64 6 37.80 ,Pilcomayo,633 msnm ,26-10-2017,08:00 Hs,0.278 m/s,18 m3/s,Octubre 2017, Unidad de Monitoreo y Centro de Datos,1288,7.23,8.35,897,2710,3687,24.8,94.9,133,1027.2,47.1,164,7.54,102,138,214,34.3,128,,,,,,,,,,,,,,,,,,,,,,,11.44,,29.15,23.62,30849.82,609.23,36.53,26.37,88.19,,,0.10,-84.4,0.6,94.8,132.47,409.9,128.15,0.86,1.9,15.08,5.65,1.06,3.97,,23000,160000,,,,15000,,,,< 1,,45,,,,,,151.29,,79,< 0.2,64,183,83786,10,1661,< 0.04,0.283,< 2,99,< 0.2,< 2,< 0.2,79,< 2,< 20,2,241,,,,< 2,< 2,,31,75,485,< 0.2,,,< 2,,,,,,,,,28.95,> 1100,,,,,,,179.4,776,< 2,< 0.2,< 2,< 0.2,,< 0.02,,,,,,,,,,,,,,,,,
-21.259,-63.5117,917,21 15 32.46,63 30 42.24 ,Pilcomayo,387 msnm ,25-10-2017,09:30 Hs,0.237 m/s,23 m3/s,Octubre 2017, Unidad de Monitoreo y Centro de Datos,1134,7.72,8.166,762,5454,6231,25.2,74.4,107,880.5,32.7,67.6,9.2,194,126,215,70.3,246,4,64,< 0.2,< 2,2,161,3,101,116,153930,< 2,3098,< 0.04,0.283,2,141,< 0.2,< 2,< 0.2,145,< 2,552,11.00,,29.15,17.97,28202.05,568.02,25.49,24.90,101.21,,,0.05,-73.9,0.5,99.2,103.17,307.4,99.67,1.2,1.56,25.64,6.01,1.06,7.75,,4300,110000,,,< 1,74000,,,,,< 0.02,54.5,356,407,< 2,< 20,,9.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.12,> 1100,< 0.2,3,< 0.2,< 2,0.55,,193.1,882,,,,,,,,,,,,,,,,,,,,,,,
-22.3781,-62.5186,919,22 22 41.28,62 31 6.96 ,Pilcomayo,250 msnm ,29-05-2018,15:15 Hs,1.637 m/s,111 m3/s,Mayo 2018, Unidad de Monitoreo y Centro de Datos,999,6.21,8.08,660,1448,2204,24.1,108,,306,8.7,,5.2,,105,,< 2,5,< 1,< 20,< 1,< 20,< 1,< 20,< 1,< 20,233,9611,24,576,< 0.04,< 0.1,< 1,< 20,< 1,< 20,< 1,< 20,< 1,< 20,,,,,6476.52,381.22,,,,,,,-75,0.3,76.4,125,143,227,,,< 1,< 0.03,< 0.05,,,,,,,,,,,,,,1,692,553,< 1,< 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,872,< 1,< 20,< 1,< 20,,,,,,,,,,,,,,,,,,,,,,,,,,,
-21.2589,-63.5117,920,21 15 32.16,63 30 42.0 ,Pilcomayo, msnm ,29-05-2018,06:45 Hs,0.422 m/s,72 m3/s,Mayo 2018, Unidad de Monitoreo y Centro de Datos,1023,7.67,8.23,698,48,746,22.5,48.89,64.92,278.3,37.94,38.24,7.3,7.4,125.6,125.6,26,33,1,< 20,< 1,< 20,< 1,< 20,< 1,< 20,203,900,,,,,,,,,,,,,,,,,14520.83,,,,,,,,-92,0.3,92,115,124.1,180.9,,,,,,,,,,,,,,,,,0.005,,,712,571,,,,,,,,,,,4,< 20,< 0.04,< 0.1,< 1,< 20,< 1,< 20,< 1,< 20,< 1,< 20,< 1,< 20,,,,,,,,,,,,,,,,,,,,,,5,64.2,< 1,< 20,,,,,,,,< 1,< 20,,,,,,,,,,,,,,,,,,,,
-21.2393,-65.2089,921,21 14 21.36,65 12 32.04 ,San Juan del Oro,2329 msnm ,23-05-2018,11:00 Hs,0.723 m/s,7 m3/s,Mayo 2018, Unidad de Monitoreo y Centro de Datos,1286,8.72,8.2,1078,43,1121,12.8,83.36,140.28,516,64.67,67.67,1.4,1.4,93.2,95.4,19,29,,,,,,,,,,,,,,,,,,,,,< 1,,,,,,77744.19,5232.56,,,2651.16,,,,,0.4,108.6,150,71.4,450.4,,,,,,,,,,,,,,,,,0.004,,,,,,< 20,,,,< 20,< 1,< 20,351,3694,11,236,< 0.04,< 0.1,1,< 20,< 1,< 20,< 1,< 20,< 1,,,114,,,,< 20,< 1,,< 20,2469,1186,< 1,,,1,,,,,,,,,25,46.6,,,< 1,,,,172.8,,< 20,,< 20,< 1,,,,,,,,,,,,,,,,,,,
-20.7423,-65.2412,922,20 44 32.16,65 14 28.38 ,Tumusla,2319 msnm ,23-05-2018,08:50 Hs,0.652 m/s,10 m3/s,Mayo 2018, Unidad de Monitoreo y Centro de Datos,1073,8.51,8.2,902,306,1208,10.4,63.32,79.35,456,78.49,78.88,1.4,1.5,70.1,71.6,15,24,1,< 20,< 1,< 20,< 1,< 20,< 1,< 20,224,897,19,< 20,< 0.04,< 0.1,2,< 20,< 1,< 20,< 1,< 20,1,< 20,,,,,2199.35,,,,,,,,,0.3,100,110,43.1,413.6,,,,,,,,,,,,0.003,,,,,,,,1266,2681,< 1,< 20,,4624.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,368,< 1,< 20,< 1,< 20,,,159.8,,,,,,,,,,,,,,,,,,,,,,,,
-19.4718,-65.7943,923,19 28 18.6,65 47 39.6 ,Tarapaya,3326 msnm ,22-05-2018,09:00 Hs,0.581 m/s,1 m3/s,Mayo 2018, Unidad de Monitoreo y Centro de Datos,652,8.66,6.8,482,43,525,3.5,68.13,68.93,214.1,10.69,10.84,1.5,1.5,50.4,51.8,23,40,13,43,4,< 20,9,31,< 1,< 20,579,,,,,,,,,,,,,,697.67,,511.63,,126255.81,3697.67,,,55976.74,,,,,0.1,96.7,60,39.7,180.9,,,,,,,,,,,,,,,,,0.004,,,295,208,,,,,,,,,,6008,479,638,< 0.04,< 0.1,4,< 20,< 1,< 20,< 1,< 20,< 1,< 20,1258,3665,,,,,,,,,,,,,,,,,,,,,,< 5,73.1,< 1,< 20,,,,,137.4,,,< 1,< 20,,,,,,,,,,,,,,,,,,,,
-19.3215,-65.552,924,19 19 17.4,65 33 7.08 ,Colavi,3622 msnm ,22-05-2018,13:45 Hs,SIN DATOS,SIN DATOS,Mayo 2018, Unidad de Monitoreo y Centro de Datos,350,6.92,4.1,294,6,300,12.1,21.64,22.44,132.4,19.03,19.5,1,1,1.2,1.2,< 5,4,< 1,< 20,4,< 20,598,632,< 1,< 20,10633,,,,,,,,,,,,,,,,5666.67,,1907333.33,126666.67,,,30666.67,,,,,0,99.9,< 5,6.9,134.6,,,,,,,,,,,,,,,,,0.003,,,50,< 20,,,,,,,,,,22077,3322,4082,< 0.04,< 0.1,19,< 20,< 1,< 20,< 1,< 20,< 1,< 20,1040,1224,,,,,,,,,,,,,,,,,,,,,,< 5,58.9,< 1,< 20,,,,,134.9,,,< 1,< 20,,,,,,,,,,,,,,,,,,,,
-19.1324,-65.572,925,19 7 56.52,65 34 19.32 ,Pilcomayo,2781 msnm ,21-05-2018,13:20 Hs,1.087 m/s,8 m3/s,Mayo 2018, Unidad de Monitoreo y Centro de Datos,854,7.41,8.32,610,74,684,14.5,52.1,55.31,178.55,11.77,12.08,8.3,8.3,54,56.9,16,29,8,< 20,< 1,< 20,1,< 20,< 1,< 20,183,3098,220,415,< 0.04,< 0.1,< 1,< 20,< 1,< 20,< 1,< 20,166,1196,,,,,39391.89,2635.14,,,13918.92,,,,-83.1,0.2,101.7,120,121.2,95.22,,,,,,,,,,,,0.016,,,,,,,,1107,1195,< 1,< 20,,1189.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,95.9,< 1,< 20,< 1,< 20,,,151.5,,,,,,,,,,,,,,,,,,,,,,,,
-19.133,-65.5701,926,19 7 58.8,65 34 12.3 ,Tacobamba,2778 msnm ,21-05-2018,14:10 Hs,0.623 m/s,0 m3/s,Mayo 2018, Unidad de Monitoreo y Centro de Datos,600,6.49,8.6,416,6,422,19.5,50.5,51.3,243.3,28.46,29.54,5.4,5.4,7.8,8.2,,,,,,,,,,,,,,,,,,,,,,,,,6833.33,,,,442000.00,12333.33,,,22500.00,,,,,0,99.4,175,5.9,146.69,,,,,,,,,,,,,,,,,0.004,,,,,,26,,,4333.33,< 20,< 1,< 20,169,2821,212,286,< 0.04,< 0.1,2,< 20,< 1,< 20,< 1,< 20,< 1,,< 1,135,,,,< 20,< 1,,41,136,76,< 1,27,40,< 1,,,,,,,,,10,31,,,< 1,< 20,,,146.5,,< 20,,,< 1,,,,,,,,,,,,,,,,,,,
-19.5977,-65.7313,934,19 35 51.6,65 43 52.8 ,De la Ribera,4239 msnm ,06-02-2018,12:35 Hs,SIN DATOS,SIN DATOS,Febrero 2018, Unidad de Monitoreo y Centro de Datos,299,5.67,8.974,182,241,423,16.7,30.4,30.57,88.3,3,3.06,2.9,2.9,18.2,21.5,17,37,2,< 20,< 1,< 20,< 1,35,< 1,< 20,507,1532,266,280,< 0.04,< 0.1,< 1,< 20,< 1,< 20,< 1,27,83,105,,,145.23,,4253.11,58.09,,100.00,91.29,,,,-124.8,0.1,98.3,90,8.6,59.1,0.06,0.09,1.84,< 0.02,0.13,4.3,,,,,,,26,0,10,,0.002,< 0.002,21,161,165,< 1,27,,16.60,112.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,< 5,17.5,< 1,< 20,< 1,< 20,,,121.8,3350,,,,,,,,,,,,,,,,,,,,,,,
-20.4876,-65.6182,935,20 29 15.24,65 37 5.46 ,Tumusla,2584 msnm ,07-02-2018,08:45 Hs,SIN DATOS,SIN DATOS,Febrero 2018, Unidad de Monitoreo y Centro de Datos,662,6.86,8.297,446,6229,6675,16.9,49.21,50.53,240.4,28.53,28.54,5.7,6.4,54.2,55.4,28,36,< 1,35,< 1,< 20,< 1,110,< 1,30,210,144818,34,2068,< 0.04,0.208,< 1,130,< 1,< 20,< 1,126,48,1196,5.62,,17.66,4.82,23215.28,326.54,20.87,19.31,184.30,,,0.03,-86.6,0.2,96.7,90,31.4,279.8,0.12,0.25,2.08,< 0.02,0.78,4.3,,,,,< 0.001,0.004,4,5,20,,,< 0.002,13,644,507,< 1,23,< 0.05,,3.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,< 5,> 1100,< 1,< 20,< 1,< 20,,,147.8,1511,,,,,,,,,,,,,,,,,,,,,,,
